Species,Pathogen,Parameter,FunctionType,q,q.CI.low,q.CI.up,Tmin,Tmin.CI.low,Tmin.CI.up,Tmax,Tmax.CI.low,Tmax.CI.up,Author,Year,Notes
Culex annulirostris,NA,MDR,Briere,6.86E-05,5.47E-05,8.47E-05,1.11E+01,7.60E+00,1.44E+01,3.92E+01,3.79E+01,4.01E+01,Shocket,2.02E+03,
Aedes spp.,NA,MDR,Briere,7.06E0-5,4.98E-05,8.99E-05,9.60E+00,5.30E+00,1.27E+01,3.89E+01,3.77E+01,4.14E+01,Shocket,2.02E+03,
Culex annulirostris,NA,nLR,Quadratic,2.73E-03,1.99E-03,3.29E-03,1.70E+01,1.56E+01,1.79E+01,3.72E+01,3.64E+01,3.84E+01,Shocket,2.02E+03,within-raft egg survival (number of larvae per raft)
Aedes spp.,DENV,PDR,Briere,1.05E-04,5.32E-05,1.71E-04,1.44E+01,4.10E+00,1.95E+01,4.19E+01,3.81E+01,4.49E+01,Shocket,2.02E+03,
Aedes Vigilax,RRV,PDR,Briere,1.38E-04,8.55E-05,2.14E-04,6.30E+00,1.30E+00,1.30E+01,4.11E+01,3.61E+01,4.50E+01,Shocket,2.02E+03,
Culex quinquefasciatus,WNV,PDR,Briere,7.12E-05,4.58E-05,1.02E-04,19,1.29E+01,2.10E+01,44.1,3.88E+01,5.04E+01,Shocket,2020,
Culex quinquefasciatus,NA,pLA,Quadratic,4.26E-03,3.51E-03,5.17E-03,8.9,7.60E+00,9.90E+00,37.7,3.62E+01,3.92E+01,Shocket,2020,
Culex annulirostris,NA,pLA,Quadratic,5.39E-03,4.31E-03,6.65E-03,1.49E+01,1.33E+01,1.65E+01,3.91E+01,3.79E+01,4.04E+01,Shocket,2.02E+03,larval-to-adult survival
Culex quinquefasciatus,NA,pO,Briere,6.67E-04,5.80E-04,7.91E-04,1.7,2.00E-01,4.80E+00,31.8,3.11E+01,3.22E+01,Shocket,2020,
Culex annulirostris,NA,pRH,Quadratic,6.78E-03,3.36E-03,1.26E-02,1.43E+01,1.06E+01,1.72E+01,3.81E+01,3.37E+01,4.20E+01,Shocket,2.02E+03,probability of raft hatching
Aedes aegypti,ZIKV,bc,Quadratic,3.54E-03,5.56E-03,1.82E-03,22.72,2.11E+01,2.40E+01,38.38,3.65E+01,4.03E+01,Tesla,2018,
Aedes aegypti,NA,lf,Quadratic,3.02E-01,4.68E-01,1.34E-01,11.25,6.30E+00,1.51E+01,37.22,3.48E+01,3.96E+01,Tesla,2018,infection status did not have a significant effect on lifespan (p=0.6338)
Aedes aegypti,ZIKV,PDR,Briere,1.74E-04,5.38E-05,3.04E-04,18.27,7.68E+00,2.40E+01,42.31,3.93E+01,4.50E+01,Tesla,2018,
Aedes aegypti,NA,MDR,Briere,7.86E-05,5.75E-05,9.93E-05,1.14E+01,7.19E+00,1.50E+01,3.92E+01,3.90E+01,3.95E+01,Tesla,2018,
Aedes aegypti,NA,pEA,Quadratic,5.99E-03,6.82E-03,5.13E-03,1.36E+01,1.26E+01,1.45E+01,3.83E+01,3.75E+01,3.90E+01,Tesla,2018,
Aedes aegypti,NA,EFD,Briere,8.56E-03,3.78E-03,1.41E-03,1.46E+01,8.08E+00,2.06E+01,3.46E+01,3.40E+01,3.58E+01,Tesla,2018,
Aedes aegypti,NA,BitingRate,Briere,2.02E-04,1.20E-04,2.80E-04,1.34E+01,8.27E+00,1.74E+01,4.01E+01,4.00E+01,4.03E+01,Tesla,2018,
